x,y,z
3.28869,3.00416,96.8407
3.29802,3.00054,96.8371
3.30734,2.99693,96.8335
3.31667,2.99332,96.8298
3.32599,2.98971,96.8262
3.33532,2.9861,96.8225
3.34464,2.98249,96.8189
3.35397,2.97887,96.8153
3.36329,2.97526,96.8116
3.37262,2.97165,96.808
3.38194,2.96804,96.8043
3.39127,2.96443,96.8007
3.40059,2.96082,96.7971
3.40992,2.9572,96.7934
3.41924,2.95359,96.7898
3.42857,2.94998,96.7861
3.43789,2.94637,96.7825
3.44722,2.94276,96.7789
3.45654,2.93915,96.7752
3.46587,2.93553,96.7716
3.47519,2.93192,96.7679
3.48452,2.92831,96.7643
3.49384,2.9247,96.7607
3.50317,2.92109,96.757
3.51249,2.91748,96.7534
3.52182,2.91387,96.7497
3.53114,2.91025,96.7461
3.54047,2.90664,96.7425
3.54979,2.90303,96.7388
3.55912,2.89942,96.7352
3.56844,2.89581,96.7315
