x,y,z
-1.20284,-2.98969,97.7871
-1.19289,-2.99068,97.7834
-1.18293,-2.99162,97.7798
-1.17297,-2.99251,97.7761
-1.163,-2.99335,97.7725
-1.15304,-2.99414,97.7689
-1.14306,-2.99488,97.7652
-1.13309,-2.99557,97.7616
-1.12311,-2.99621,97.7579
-1.11312,-2.9968,97.7543
-1.10314,-2.99734,97.7507
-1.09315,-2.99783,97.747
-1.08316,-2.99827,97.7434
-1.07317,-2.99866,97.7397
-1.06318,-2.999,97.7361
-1.05318,-2.99929,97.7325
-1.04318,-2.99953,97.7288
-1.03318,-2.99972,97.7252
-1.02319,-2.99987,97.7215
-1.01319,-2.99996,97.7179
-1.00319,-3,97.7143
-0.993185,-2.99999,97.7106
-0.983186,-2.99993,97.707
-0.973186,-2.99982,97.7033
-0.963187,-2.99966,97.6997
-0.953189,-2.99945,97.6961
-0.943193,-2.99919,97.6924
-0.933198,-2.99888,97.6888
-0.923204,-2.99853,97.6852
-0.913212,-2.99812,97.6815
-0.903224,-2.99766,97.6779
-0.893236,-2.99715,97.6742
-0.883252,-2.99659,97.6706
-0.87327,-2.99598,97.667
-0.863292,-2.99532,97.6633
-0.853317,-2.99461,97.6597
-0.843346,-2.99386,97.656
-0.833379,-2.99305,97.6524
-0.823415,-2.99219,97.6488
-0.813457,-2.99128,97.6451
-0.803503,-2.99032,97.6415
-0.793554,-2.98932,97.6378
-0.783609,-2.98826,97.6342
-0.773672,-2.98715,97.6306
-0.763738,-2.986,97.6269
-0.753811,-2.98479,97.6233
-0.74389,-2.98353,97.6196
-0.733976,-2.98223,97.616
-0.724068,-2.98087,97.6124
-0.714167,-2.97947,97.6087
-0.704273,-2.97802,97.6051
-0.694388,-2.97651,97.6014
-0.684509,-2.97496,97.5978
-0.674638,-2.97336,97.5942
-0.664775,-2.97171,97.5905
-0.654921,-2.97001,97.5869
-0.645075,-2.96826,97.5832
-0.635238,-2.96646,97.5796
-0.62541,-2.96461,97.576
-0.615592,-2.96271,97.5723
-0.605784,-2.96076,97.5687
-0.595985,-2.95877,97.565
-0.586196,-2.95672,97.5614
-0.576417,-2.95463,97.5578
-0.56665,-2.95249,97.5541
-0.556893,-2.9503,97.5505
-0.547147,-2.94806,97.5468
-0.537412,-2.94577,97.5432
-0.52769,-2.94343,97.5396
-0.517978,-2.94104,97.5359
-0.508279,-2.93861,97.5323
-0.498592,-2.93613,97.5286
-0.488918,-2.9336,97.525
-0.479256,-2.93102,97.5214
-0.469608,-2.92839,97.5177
-0.459972,-2.92571,97.5141
-0.450351,-2.92299,97.5104
-0.440743,-2.92022,97.5068
-0.431149,-2.9174,97.5032
-0.418988,-2.91377,97.4995
-0.409405,-2.91092,97.4959
-0.399822,-2.90806,97.4922
-0.390239,-2.9052,97.4886
-0.380656,-2.90234,97.485
-0.371073,-2.89949,97.4813
-0.361489,-2.89663,97.4777
-0.351906,-2.89377,97.474
-0.342323,-2.89092,97.4704
-0.33274,-2.88806,97.4668
-0.323157,-2.8852,97.4631
-0.313574,-2.88234,97.4595
-0.30399,-2.87949,97.4558
-0.294407,-2.87663,97.4522
-0.284824,-2.87377,97.4486
-0.275241,-2.87092,97.4449
-0.265658,-2.86806,97.4413
-0.256075,-2.8652,97.4377
-0.246492,-2.86234,97.434
-0.236908,-2.85949,97.4304
-0.227325,-2.85663,97.4267
-0.217742,-2.85377,97.4231
-0.208159,-2.85092,97.4194
-0.198576,-2.84806,97.4158
-0.188993,-2.8452,97.4122
-0.17941,-2.84234,97.4085
